Score,Track ID,Artist,Song,Genre,Release Date,Topic_1,Topic_2,Topic_3,Feature_1,Feature_2,Feature_3
37.03962498508905,27413,a-ha,move to memphis,"[1731, 1060, 2340, 617, 2954, 47, 2511]",2019,"(15, 0.3068376346460149)","(10, 0.298357735327912)","(1, 0.2076181264865849)","(5, 0.9670239076669416)","(6, 0.845841031271447)","(2, 0.6979719508755736)"
36.01158189990838,24526,def leppard,another hit and run,"[1265, 2340, 2030, 47]",1981,"(1, 0.4736537586885128)","(9, 0.2695098866814141)","(2, 0.106318799778657)","(6, 0.8918885154371186)","(2, 0.7036638207317385)","(1, 0.3252463987869599)"
35.83534360945853,24795,toto,stranger in town,"[1731, 2340, 617, 2954, 2511, 47]",1984,"(8, 0.4772540857417555)","(10, 0.3465791315259662)","(14, 0.0597373719056338)","(5, 0.7609233305853257)","(6, 0.6676572881955872)","(1, 0.5819343658615834)"
35.83534360945853,24835,kim mitchell,go for soda,"[617, 435, 583, 47]",1984,"(14, 0.4514891307615142)","(9, 0.1467090625159502)","(10, 0.0776726859798817)","(1, 0.6620816635979638)","(5, 0.5733718054410551)","(2, 0.5497013050278183)"
35.625534163341754,25136,winger,headed for a heartbreak,"[1265, 1188, 2340, 47]",1988,"(1, 0.3086350157999328)","(14, 0.218464632534438)","(3, 0.1304244619078242)","(2, 0.5591364766812809)","(6, 0.5074921258802076)","(1, 0.4335535578901766)"
35.3799682611817,1827,stealers wheel,star,"[617, 627, 1060, 2511]",1973,"(1, 0.3504529522315281)","(7, 0.2712523812321396)","(11, 0.1813140386588209)","(2, 0.7569161346563085)","(6, 0.7337254176506813)","(5, 0.6949711459192084)"
35.3799682611817,24009,pink floyd,money,"[2340, 617, 2667, 47, 2257, 124, 2239]",1973,"(8, 0.5351847055222239)","(13, 0.0952148597236598)","(6, 0.075827750049683)","(5, 0.7825638911788952)","(2, 0.647027151757557)","(6, 0.5375230938143414)"
35.29177458908532,23857,creedence clearwater revival,travelin' band,"[706, 2340, 2372, 617, 47, 2547, 2614]",1970,"(9, 0.4171785969309753)","(12, 0.1376199059644509)","(10, 0.1084792894402517)","(5, 0.975267930750206)","(6, 0.7747677404939973)","(2, 0.7586595902879265)"
35.28978672592557,24151,billy joel,prelude / angry young man,"[1731, 1060, 2340, 617, 2475, 47, 2511, 2134]",1976,"(1, 0.3338574709700694)","(10, 0.2390665045341199)","(2, 0.1517084296762688)","(5, 0.701154163231657)","(6, 0.690681030278423)","(2, 0.6538215009101863)"
35.28978672592557,24157,boston,rock & roll band,"[706, 1731, 2340, 617, 47, 2511, 1265, 124]",1976,"(8, 0.3517675609443469)","(10, 0.1998329601203295)","(9, 0.1510338796357943)","(6, 0.8388338054201492)","(2, 0.7564546316949978)","(5, 0.6506595218466611)"
35.24116064864809,24182,the clash,career opportunities,"[2340, 2117, 617, 748, 2269]",1977,"(1, 0.5049431506609826)","(8, 0.0862385635805946)","(14, 0.0397139644695137)","(5, 0.9670239076669416)","(6, 0.8548503216516872)","(2, 0.7076635130630976)"
